question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
j_crossover_prob,100,stupid,100,400,0.9,0.2,2,0111011111 1010111001 1011110110 0111111101 0011110101 1000101111 1110111011 1100111111 1110111011 1110111111,213.0,421.0,2.6203465652156314e+58
j_crossover_prob,100,simple,100,400,1.0,0.2,4,1100111110 1010111111 1011011100 1011011001 1110011100 1000111111 1101101111 1110011111 0111111001 1111111111,211.0,412.0,412.0
j_crossover_prob,100,full,100,400,1.0,0.2,3,1110111100 1011111011 1111111111 1111111101 1111111111 1011111111 1101101111 0111111111 0111111101 1110111011,264.0,486.0,9.62757253605266e+62
j_crossover_prob,100,stupid,100,400,1.0,0.2,4,1011010011 1010101111 1101011110 1111101111 1011111111 1100100110 1110111111 1100111111 1100111001 0111111011,211.0,416.0,1.0530585154705303e+58
ch_mutation_prob,10,simple,100,400,0.8,0.05,0,1111111101,22.0,39.0,39.0
ch_mutation_prob,10,full,100,400,0.8,0.05,0,1111111111,24.0,42.0,483840.0
ch_mutation_prob,10,stupid,100,400,0.8,0.05,0,0111111111,22.0,39.0,16127961.0
ch_mutation_prob,10,simple,100,400,0.8,0.1,0,0111111111,22.0,39.0,39.0
ch_mutation_prob,10,full,100,400,0.8,0.1,0,1111111111,24.0,42.0,483840.0
ch_mutation_prob,10,stupid,100,400,0.8,0.1,0,1111111101,22.0,39.0,16127961.0
ch_mutation_prob,10,simple,100,400,0.8,0.3,0,0111111111,22.0,39.0,39.0
ch_mutation_prob,10,full,100,400,0.8,0.3,0,1111111111,24.0,42.0,483840.0
ch_mutation_prob,10,stupid,100,400,0.8,0.3,0,0111111111,22.0,39.0,16127961.0
ch_mutation_prob,10,simple,100,400,0.8,0.5,0,0111111111,22.0,39.0,39.0
ch_mutation_prob,10,full,100,400,0.8,0.5,0,1111111111,24.0,42.0,483840.0
ch_mutation_prob,10,stupid,100,400,0.8,0.5,0,0111111111,22.0,39.0,16127961.0
ch_mutation_prob,20,simple,100,400,0.8,0.05,0,1101111111 1110001101,39.0,85.0,85.0
ch_mutation_prob,20,full,100,400,0.8,0.05,0,1111111111 1111111111,57.0,109.0,119859786547200.0
ch_mutation_prob,20,stupid,100,400,0.8,0.05,0,1111111110 1110010111,39.0,81.0,20808990719919.0
ch_mutation_prob,20,simple,100,400,0.8,0.1,0,1101111111 1110001101,39.0,85.0,85.0
ch_mutation_prob,20,full,100,400,0.8,0.1,0,1111111111 1111111111,57.0,109.0,119859786547200.0
ch_mutation_prob,20,stupid,100,400,0.8,0.1,0,1111111100 1110011111,39.0,81.0,20808990719919.0
ch_mutation_prob,20,simple,100,400,0.8,0.3,0,1101111111 1110001101,39.0,85.0,85.0
ch_mutation_prob,20,full,100,400,0.8,0.3,0,1111111111 1111111111,57.0,109.0,119859786547200.0
ch_mutation_prob,20,stupid,100,400,0.8,0.3,0,1111111100 1110011111,39.0,81.0,20808990719919.0
ch_mutation_prob,20,simple,100,400,0.8,0.5,3,1001111111 0111001101,39.0,84.0,84.0
ch_mutation_prob,20,full,100,400,0.8,0.5,3,1101111111 1111111111,54.0,105.0,29964946636800.0
ch_mutation_prob,20,stupid,100,400,0.8,0.5,0,1111101110 1110011111,39.0,81.0,20808990719919.0
ch_mutation_prob,60,simple,100,400,0.8,0.05,0,1110011111 1110011111 1111111110 1110110101 0110111111 1010110111,130.0,265.0,265.0
ch_mutation_prob,60,full,100,400,0.8,0.05,0,1111111111 1111111111 1111111111 1111111111 1111111111 1111111111,187.0,340.0,5.546974896305676e+43
